x,y,pen_down
519,755,True
515,752,True
498,735,True
508,746,True
524,759,True
523,760,True
507,746,True
491,730,True
474,713,True
458,697,True
443,681,True
434,664,True
440,670,True
439,668,True
436,663,True
440,673,True
438,673,True
441,674,True
443,676,True
445,679,True
446,679,True
432,663,True
429,651,True
427,649,True
428,648,True
428,650,True
431,659,True
431,659,True
432,662,True
426,650,True
420,634,True
421,631,True
422,633,True
420,631,True
422,640,True
421,638,True
425,646,True
418,629,True
417,613,True
418,615,True
417,617,True
414,616,True
416,623,True
417,623,True
418,625,True
419,622,True
417,610,True
402,608,True
394,591,True
401,577,True
397,571,True
386,554,True
388,553,True
384,541,True
385,548,True
387,552,True
388,561,True
388,560,True
388,556,True
391,558,True
382,541,True
378,525,True
378,520,True
382,535,True
382,535,True
379,523,True
378,535,True
380,539,True
381,542,True
382,540,True
383,542,True
376,525,True
376,509,True
375,493,True
366,480,True
373,496,True
375,512,True
375,517,True
374,501,True
369,488,True
370,489,True
374,502,True
375,516,True
375,499,True
371,487,True
368,484,True
372,488,True
376,492,True
365,481,True
376,497,True
376,513,True
377,526,True
377,510,True
374,494,True
362,477,True
361,461,True
361,445,True
360,434,True
361,449,True
362,452,True
361,443,True
361,456,True
361,458,True
360,453,True
361,438,True
359,438,True
359,455,True
361,471,True
361,474,True
361,465,True
362,470,True
360,463,True
363,479,True
362,479,True
359,470,True
363,454,True
357,438,True
353,421,True
356,425,True
357,425,True
353,422,True
355,432,True
355,432,True
357,431,True
358,433,True
351,417,True
346,400,True
349,408,True
349,405,True
347,401,True
349,411,True
348,412,True
348,410,True
351,420,True
345,405,True
342,389,True
341,373,True
341,356,True
341,340,True
342,338,True
342,355,True
342,371,True
342,387,True
343,398,True
342,393,True
344,390,True
343,373,True
343,357,True
343,341,True
344,352,True
344,350,True
343,357,True
343,373,True
343,387,True
342,378,True
342,362,True
342,346,True
341,337,True
341,353,True
341,369,True
341,386,True
344,402,True
341,390,True
339,373,True
339,379,True
340,371,True
340,354,True
339,338,True
333,322,True
332,319,True
336,321,True
335,322,True
332,314,True
338,330,True
336,327,True
337,327,True
339,333,True
340,334,True
331,318,True
327,302,True
330,285,True
326,298,True
329,292,True
329,286,True
330,300,True
329,300,True
329,305,True
327,301,True
328,313,True
329,314,True
330,312,True
330,308,True
331,291,True
339,275,True
334,278,True
338,273,True
342,269,True
342,266,True
339,259,True
338,243,True
351,234,True
339,247,True
346,237,True
347,237,True
339,244,True
348,235,True
339,240,True
341,240,True
339,256,True
338,259,True
338,261,True
339,265,True
341,271,True
337,278,True
336,280,True
333,285,True
335,279,True
331,286,True
343,270,True
336,254,True
335,253,True
336,247,True
337,259,True
338,242,True
354,231,True
359,216,True
356,229,True
357,224,True
357,224,True
358,222,True
359,226,True
352,232,True
361,218,True
368,202,True
362,207,True
371,194,True
368,199,True
371,196,True
365,205,True
363,210,True
365,209,True
362,215,True
361,211,True
360,220,True
367,204,True
377,188,True
383,179,True
379,184,True
382,180,True
377,185,True
379,180,True
374,196,True
376,191,True
380,185,True
372,197,True
384,180,True
394,164,True
392,167,True
394,167,True
388,172,True
391,168,True
396,165,True
400,162,True
393,163,True
385,175,True
384,173,True
401,159,True
417,151,True
412,153,True
409,155,True
415,152,True
416,152,True
401,157,True
403,157,True
405,156,True
402,159,True
408,155,True
424,146,True
435,129,True
424,145,True
430,138,True
426,141,True
429,139,True
424,145,True
435,131,True
427,145,True
422,147,True
426,145,True
437,129,True
445,112,True
439,123,True
443,116,True
445,117,True
442,123,True
441,125,True
443,122,True
436,132,True
446,116,True
458,99,True
464,94,True
449,110,True
462,97,True
452,108,True
462,97,True
451,110,True
460,98,True
467,92,True
451,104,True
461,94,True
450,107,True
448,113,True
453,103,True
470,89,True
486,82,True
477,86,True
479,85,True
482,84,True
479,82,True
474,85,True
478,83,True
472,89,True
475,87,True
491,81,True
507,76,True
494,80,True
496,78,True
504,76,True
487,79,True
491,79,True
490,80,True
490,81,True
506,74,True
523,71,True
539,71,True
525,72,True
518,73,True
514,74,True
528,72,True
513,71,True
507,72,True
505,73,True
506,74,True
506,75,True
522,69,True
539,69,True
555,69,True
571,67,True
576,68,True
560,68,True
544,68,True
527,68,True
541,67,True
558,67,True
550,67,True
534,68,True
551,68,True
567,68,True
571,67,True
554,69,True
538,69,True
522,69,True
533,70,True
549,70,True
565,70,True
582,69,True
580,70,True
564,68,True
549,66,False
684,354,False
685,354,True
701,358,True
717,359,True
734,369,True
744,385,True
741,384,True
725,375,True
709,370,True
692,370,True
676,371,True
660,375,True
643,380,True
627,386,True
613,389,True
627,372,True
643,366,True
659,361,True
676,356,True
692,356,True
708,357,True
701,356,True
701,356,True
703,355,True
686,358,True
670,358,True
654,360,True
665,360,True
680,357,True
697,357,True
683,357,True
667,358,True
666,357,True
655,359,True
669,360,True
670,359,True
678,358,True
694,358,True
689,355,True
677,355,True
